Sigla,Setor_Descricao,Setor_Codigo
IOC,LAB DE BIOQUIMICA DE TRIPANOSOMATIDEOS,005120041
IRR,PLATAFORMA DE PCR EM TEMPO REAL,031040061
IAM,DEPARTAMENTO DE MICROBIOLOGIA,032005000
COGEAD,BIBLIOTECA EMILIA DE BUSTAMANTE,012006000
IGM,BENS ALIENADOS,033003610
COGEAD,CENTRO TECN. E INF. BANCO LEITE HUMANO,009101005
COGEAD,LABORATORIO DE COMUNICACAO E SAUDE,009106000
COGEAD,BIBLIOTECA DE SAUDE PUBLICA,009101500
COGEAD,ASSESSORIA DE COMUNICACAO SOCIAL,009100001
COGEAD,COORDENACAO DE ADMINISTRACAO,012001000
ILMD,LAB. ECOLOGIA DE DOENCAS TRANS. NA AMAZO,042101900
IAM,LABORATORIO DE IMUNOEPIDEMIOLOGIA,032004003
FAR-MANGUINHOS,INSTITUTO DE TECNOL. EM  FARMACOS,011010201
COGIC,DEPARTAMENTO GESTÃO INSTITUCIONAL,008103000
COGEAD,COORD.DA REV. TRABALHO EDUC. E SAUDE,012001010
IRR,BENS NAO LOCALIZADOS,031999999
IRR,NUCLEO DE BIBLIOTECA,031003000
COGEAD,LAB. DE INIC. CIENT. NA EDUCACAO BASICA,012007007
COGEAD,PROGRAMA COMPUTACAO CIENTIFICA,001001700
ILMD,SERVICO DE BIBLIOTECA,042102300
ENSP,PROJETO ESTUDO CARGA DOENCAS NO BRASIL,007002410
ENSP,DEPARTAMENTO EPIDEM.METOD.QUANT.EM SAÚDE,007002400
IGM,ASSESSORIA DE COMUNICACAO SOCIAL,033003013
COGEAD,LAB DE COMUNICACAO E SAUDE,009106000
FAR-MANGUINHOS,DEPARTAMENTO DE ADMINISTRACAO,011010201
COC,SERVICO DE BIBLIOTECA,014120300
IGM,SERVICO DE HISTOTECNOLOGIA,033005000
IGM,SALA DAS PLATAFORMAS TECNOLOGICAS CPQGM,033006002
IGM,LAB. INVEST. E GEN. E HEMAT. TRANSLACION,033400000
IGM,SALA INSETARIO I,033006010
IGM,SALA INSETARIO II,033006011
IGM,PLATAFORMA DE MICROSCOPIA ELETRONICA,033011010
IGM,COPA LABORATORIO - PAV. CENTRAL,033006004
COGEAD,BIB DE CIENCIAS BIOMEDICAS,009101400
COGEAD,SERV DE COMUNICACAO VISUAL,009101300
COGEAD,SECAO DE PROCESSAMENTO TECNICO,009101402
COGEAD,LAB INFORMACAO CIENT. TECNOL. EM SAUDE,009105000
ENSP,CESTEH-AMBULATORIO,007005901
COGIC,SECAO TELEFONIA,008102210
ENSP,SERVIÇO DE PROJETO RADIS,007006200
COGIC,SERVICO CONTROLE PROCESSO,008106300
COGIC,SERVICO MANUTENCAO DE UTILIDADES E REDES,008102200
INCQS,BENS EM PROCESSO DE ALIENAÇÃO,065001340
COGEAD,BENS NAO LOCALIZADOS,020999997
INI,LAB IMUNOL E IMUNOGEN DOENCA INFECCIOSA,017204612
COGEAD,DEP. GESTAO INFOR.ADM. E ASSESSORIA,020001000
ENSP,DEPARTAMENTO EPIDEM.METOD.QUANT.EM SAUDE,007002400
COGEAD,BIB DE SAUDE PUBLICA,009101500
COGEAD,COORDENACAO GERAL POS-GRADUACAO,001004100
COC,CASA DE OSWALDO CRUZ,014000000
COC,SERVICO DE MUSEOLOGIA,014135200
COGEAD,VILA RESIDENCIAL,001006000
COGEAD,COORDENACAO COMUNICACAO SOCIAL,001001400
IOC,LAB INTER DE VIGILANCIA ENTOMOLOGICA DIP,005120029
IGM,BIBLIOTECA CENTRAL,033014000
IOC,LAB GENOMICA FUNCIONAL E BIOINFORMATICA,005120017
IOC,LAB DE GENETICA MOLEC DE MICROORGANISMOS,005120035
IAM,LABORATORIO DE ESQUITOSSOMOSE,032006001
IOC,INSTITUTO OSWALDO CRUZ,005000000
COGIC,SERVIÇO GESTÃO VIGILÂNCIA,008107100
INI,SERVICO DE ANALISES CLINICAS,017205250
INI,LAB PESQ CLIN DERMZOO ANIMAIS DOMESTICOS,017204609
IGM,UNIVERSIDADE DO ESTADO DA BAHIA - UNEB,033021003
IGM,BIOMORFOLOGIA PARASITÁRIA,033039000
ILMD,VICE DIRETORIA DE PESQUISA E INOVACAO,042101000
ILMD,SERVICO DE LABORATORIO,042101100
IRR,MOSQUITOS VETORES: ENDOS. E INT. PATOGEN,031040130
COGEAD,COORDENACAO DE GESTAO TECNOL. INFORMACAO,001011017
COGEAD,SECRETARIA EXECUTIVA DA UNASUS,043200004
COGEAD,COORD. GESTÃO TECONOLOGIA DA INFORMAÇÃO,001011017
COGEAD,GABINETE DA PRESIDENCIA,001001000
COGEAD,EDITORA FIOCRUZ,001005100
ENSP,DIRETORIA DA ENSP,007000001
FAR-MANGUINHOS,DEPARTAMENTO DE TI,011010201
COGEAD,"VICE-PRES. EDUCACAO, INFOM E COMUNICACAO",001012000
COGEAD,NUCLEO DE SAUDE DO TRABALHADOR,067000010
COGEAD,COORDENACAO DE TECNOLOGIA DA INFORMACAO,069001310
ENSP,DEPART.ENDEMIAS SAMUEL PESSOA,007007000
INI,SERVICO TEC DA INFORMACAO E COMUNICACAO,017207300
COC,SERVICO DE TECNOLOGIAS DA INFORMACAO,014120200
COGEAD,VICE-PRESID. PRODUCAO E INOV. EM SAUDE,001018000
ICTB,CENTRO CRIACAO ANIMAIS DE LABORATORIO,018000000
ICTB,SECAO DE ARQUIVO,018006210
IOC,LAB BIOL MOLEC DE PARASITAS E VETORES,005120015
IOC,SECAO DE PATRIMONIO - ALIENACAO,005132025
IOC,LAB BIOLOGIA COMPUTACIONAL E SISTEMAS,005120080
IOC,SECRETARIA ACADEMICA,005153000
ENSP,SECAO DE GABINETE - HELIO FRAGA,007010040
ENSP,DEPARTAMENTO DE CIENCIAS SOCIAIS,007003000
ENSP,SERVIÇO DE GESTÃO DA TEC. DA INFORMAÇÃO,007006151
ENSP,DEPARTAMENTO DE SANEAMENTO E SAUDE AMBIE,007002300
IRR,SECRETARIA ADMINISTRATIVA,031002500
ENSP,DEPARTAMENTO DE CIÊNCIAS BIOLÓGICAS,007002100
IOC,LAB INTERDISCIPLINAR DE PESQ MEDICAS,005120082
INCQS,SETOR DE SANEANTES,065007010
IRR,MALARIA EXPERIMENTAL E HUMANA,031040060
COGEAD,DIRETORIA REGIONAL DE BRASILIA,043000000
COGEAD,SERVICO DE CRECHES,016003030
COGEAD,SERVICO DE GESTAO DO TRABALHO,020001300
COGEAD,RESIDENCIA OFICIAL,001001703
INCQS,SERVIÇO DE GESTÃO DE TEC. DA INFORMACÃO,065001500
IGM,SECAO TECNOLOGIA DA INFORMACAO-SUPORTE,033022000
ICTB,SERVICO DE INFORMATICA,018004400
ICTB,DIRECAO DO ICTB,018001000
COGEAD,ESCRITORIO TECNICO DO CEARÁ,030000000
ENSP,COORDENACAO DE EDUCACAO A DISTANCIA,007007320
ENSP,COORD. DE D. E. E EDUCAÇÃO A DISTÂNCIA,007007320
COGEAD,GESTAO ACADEMICA,009102001
COGEAD,SECAO DE INFRAESTRUTURA,009101203
COGEAD,SECAO DE OBRAS RARAS,009101403
COGEAD,MULTIMEIOS,009101300
IGM,LAB. DE PATOLOGIA ESTRUTURAL E MOLECULAR,033300000
IAM,DEPARTAMENTO DE ENTOMOLOGIA,032007000
INI,SERVICO DE INFRAESTRUTURA,017206600
COGIC,SECAO PORTARIA GUARITA,008004140
COGIC,SUBSEÇÃO DEPÓSITO 2,008003197
COGIC,SECAO  OFICINAS,008005103
COGIC,SECAO USO COMUM,008004050
IOC,SECAO DE PATRIMONIO,005132022
COGIC,SERVIÇO GESTÃO SUSTENTABILIDADE,008104200
IRR,SERVICO DE INFRAESTRUTURA,031002300
IRR,ESTUDO EM LEISHMANIOSES,031014000
COGIC,SERVICO ADMINISTRAÇÃO EXPANSÃO CAMPUS,008101600
IOC,LAB DE DOENCAS PARASITARIAS,005120051
COGIC,SUBSEÇÃO CLIMATIZAÇÃO,008003401
IOC,SERVICO DE GESTAO DO TRABALHO,005133000
IRR,AMBULATORIO,031031000
IOC,LAB MOSQ. TRANSMISSORES DE HEMATOZOARIOS,005120028
COGIC,SECAO MANUTENCAO,008007140
COGIC,SECAO OPTICA,008003030
COGIC,SECAO ORCAMENTO,008003405
IOC,LAB DE MALACOLOGIA,005120049
COGIC,SECAO ALMOXARIFADO,008001240
IOC,SERVICO DE GESTAO PREDIAL,005134020
COGEAD,SERVICO DE GESTAO DO TRABALHO,001010012
COGIC,SECAO USO COMUM,008004210
IOC,LAB DE MICROBIOLOGIA CELULAR,005120055
ICTB,COORD. DE PESQUISA EXPERIMENTACAO ANIMAL,018005300
COGIC,SECAO USO COMUM,008005120
COGIC,SECAO SERRALHERIA,008003190
COGIC,SUBSEÇÃO DEPÓSITO 1,008003195
COGIC,SUBSECAO NAPVE,008003255
COGIC,SEÇÃO REFRIGERAÇÃO,008003160
COGIC,SECAO RESERVA TECNICA,008001300
COGEAD,COMUNICACAO,016000006
COGIC,SUBSEÇÃO CONTRATO TELEFONE,008102210
COGIC,SECAO OBRAS,008003180
IOC,LAB AVALIACAO E PROMOCAO SAUDE AMBIENTAL,005120010
COGIC,SUBSECAO TELECOMUNICAÇÃO,008102211
COGIC,SECAO SUPERVISAO,008005201
COGIC,SECAO PINTURA,008002170
COGIC,SUBSECAO CASA EFICIENTE,008003253
COGIC,SUBSECAO HORTO,008004207
COGIC,SECAO ADMINISTRACAO,008005101
COGIC,SECAO ADMINISTRATIVA,008001210
COGEAD,CENTRO RELACOES INTERNACIONAIS EM SAUDE,001001600
COGIC,SECAO RESIDUO RECICLAVEL,008004204
COGEAD,SERVICO DE IMPORTACAO E EXPORTACAO,020005400
COGIC,,008100216
COGIC,SECAO INSPECAO EQUIPAMENTOS,008003080
COGIC,SECAO PLANEJAMENTO,008004160
COGEAD,COORDENAÇÃO GERAL PLANEJAMENTO ESTRAT,004000000
COGIC,SECAO VETORES,008004206
COGIC,SERVIÇO MANUTENÇÃO MECÂNICA,008108200
INCQS,SERVIÇO DE MANUTENÇÃO,065001100
COGIC,SECAO ASSESSORIA TECNICA,008003310
COGIC,SECAO HIDRAULICA,008003140
IOC,LAB DE SIMUL E ONCORC & ENT MED E FOREN,005120027
COGIC,SECAO ARQUITETURA,008003406
COGIC,SECAO SECRETARIA,008003440
COGEAD,SECAO DE CADASTRO DE ATIVOS,016004110
COGIC,SERVICO GESTÃO COMPRAS,008103300
COGIC,SECAO USINAGEM,008003090
COGEAD,SERV.GERENCIAMENTO CARREIRAS,016003010
COGIC,SECAO OBRAS,008106301
COGIC,SEÇÃO BRIGADA,008004100
IOC,LAB DE HANTAVIROSES E RICKETTSIOSES,005120069
COGEAD,SECAO DE QUALIFICAÇÃO DE FORNECEDORES,020005110
COGEAD,SECAO DE EXPEDICAO,020001220
COGEAD,ASSESSORIA GESTAO ESTRAT E PLANEJAMENTO,020001410
COGIC,SUBSECAO USO COMUM,008003254
IOC,LAB DE BIOLOGIA CELULAR,005120062
COGIC,SECAO METROLOGIA,008003040
COGIC,SERVICO PLANEJAMENTO ENGENHARIA,008106100
COGIC,SECAO MONITORAMENTO,008004080
COGIC,SECAO TREINAMENTO,008001220
COGIC,SERVICO GESTAO PESSOAS,008101200
COGIC,SECAO TREINAMENTO,008005108
COGIC,SERVIÇO GESTÃO MATERIAL,008103100
COGIC,SEÇÃO EFICIÊNCIA ENERGÉTICA,008003240
COGIC,SECAO SECRETARIA,008004040
COGIC,SECAO PROJETOS CDTS,008106302
COGIC,SUBSECAO SEGURANCA TRABALHO,008007170
COGIC,SECAO INSTALACAO 1,008003402
COGIC,SECAO ARQUIVO,008003409
COGIC,ASSESSORIA COMUNICAÇÃO,008101800
COGIC,SECAO RESIDUO EXTRAORDINARIO INFECTANTE,008004203
ICTB,ASSISTENCIA TECNICA DE ENSINO,018004600
COGIC,SEÇÃO SEGURANÇA TRABALHO,008005203
COGIC,SEÇÃO PREPOSTO,008005106
COGIC,SECAO PLANTAO,008004090
COGIC,SECAO COMPRA TECNICA,008001073
COGIC,SECAO ELETRONICA,008003020
COGIC,SECAO SECRETARIA,008000004
COGEAD,CENTRO DE TECNOLOGIA DE INF. E COMUNIC.,009101200
COGIC,SERVICO GESTÃO CONTRATOS,008103400
COGIC,SECAO PREPOSTO,008004130
COGIC,SEÇÃO ELETROTÉCNICA 2,008003051
COGEAD,SETOR DE EVENTOS,001001110
COGEAD,SERVICO DE PAGAMENTO,016004140
COGEAD,OUVIDORIA,001000004
ENSP,"DEPARTAMENTO DE DIREITOS HUMANOS, S. D.C",007000009
ENSP,SERVIÇO DE GESTÃO PATRIMONIAL,007006160
IOC,LAB DE BIODIVERSIDADE ENTOMOLOGICA,005120023
IOC,DEP DE SUPORTE E INFRA ESTRUTURA AOS LAB,005134000
IOC,LAB DE BIOLOGIA MOLECULAR DE INSETOS,005120014
IOC,LAB DE INVESTIGACAO CARDIOVASCULAR,005120030
IOC,"VICE DIR ENSINO, INFORM E COMUNICACAO",005150000
IOC,LAB BIOLOGIA DE TRIPANOSOMATIDEOS,005120058
COGIC,SECAO USO COMUM,008003400
IOC,LAB DE EDUCACAO EM AMBIENTE E SAUDE,005120013
IOC,LAB ECO-EPIDEMIOLOGIA DOENCA DE CHAGAS,005120011
IOC,LAB DE TOXINOLOGIA,005120033
IOC,LAB DE COMUNICACAO CELULAR,005120042
IOC,LABORATORIO DE ZOONOSES BACTERIANAS,005120009
IOC,CENTRO DE EXPERIMENTACAO ANIMAL,005143000
COGEAD,BIODIVERSIDADE E SAUDE,001011011
COGIC,SECAO USO COMUM,008003410
COGEAD,NUCLEO DE ARQUIVO,016000008
COGEAD,SERVIÇO DE ADMINISTRACAO,016004141
ENSP,LABORATÓRIO DE TOXICOLOGIA AMBIENTAL,007005931
IOC,LABORATORIO DE FISIOLOGIA BACTERIANA,005120008
IOC,LAB DE BACT APLIC A SAUDE UNICA E RESIST,005120008
COGIC,SEÇÃO REPOGRAFIA,008103030
COGEAD,AUDITORIA INTERNA,035000000
IOC,LAB DE ESQUISTOSSOMOSE EXPERIMENTAL,005120037
COGIC,SECAO ASSESSORIA GESTAO,008003430
COGIC,SEÇÃO SWAT,008005104
COGIC,SECAO ADMINISTRAÇÃO,008003250
COGIC,SERVIÇO GESTAO PATRIMONIO,008103200
COGEAD,DEPART.DESENV.RECURSOS HUMANOS,016003000
COGIC,SECAO VISTORIA,008005102
COGIC,SECAO PLANEJAMENTO CONTROLE  MANUTENCAO,008003320
COGIC,SUBSECAO TELECOMUNICACAO,008005140
COGIC,SERVICO GESTAO QUALIDADE,008101400
COGEAD,SERVICO DE CONTABILIDADE,020003200
IOC,LAB NACI E INTERN REF TAXONOMIA TRIATOMI,005120060
IOC,DEP SERV TECNICO PLATAFORMA TECNOLOGICA,005142000
IOC,LAB HELMINTOS PARASITOS DE VERTEBRADOS,005120039
COGIC,SUBSECAO PREPOSTO,008003251
COGIC,SECAO ELETRICA,008003150
COGIC,SECAO PROTOCOLO EXPEDICÃO,008103010
COGIC,SERVIÇO GESTÃO ORÇAMENTÁRIA FINANCEIRA,008103500
COGIC,SECAO SECRETARIA,008004150
COGIC,COORDENAÇÃO,008101000
COGIC,SECAO USO COMUM,008005107
FAR-MANGUINHOS,DEPARTAMENTO DE METODOS ANALITICOS,011010201
IOC,LAB DE HANSENIASE,005120054
COGIC,SECAO VIGILANCIA ELETRONICA,008004120
COGIC,SEÇÃO PLANTÃO,008005105
IOC,LAB DE HEPATITES VIRAIS,005120070
COGIC,SECAO ALMOXARIFADO,008005202
COGEAD,DIRECAO,016000001
IOC,LAB DE VIROLOGIA MOLECULAR,005120074
IOC,COMISSAO INTERNA DE BIOSSEGURANCA,005130002
COGIC,SECAO ALVENARIA,008003170
INCQS,LAB. DE MICRO-ORGANISMOS DE REFERÊNCIA,065003200
COGEAD,SERVICO DE TESOURARIA,020003300
COGEAD,SETORIAL CONTÁBIL DA FIOCRUZ,020000010
IOC,LABORATORIO DE ENTEROBACTERIAS,005120007
COGEAD,DEPARTAMENTO ECONOMICO FINANCEIRO,020003000
COGIC,SERVICO GESTAO TRANSPORTES,008105100
COGIC,SECAO ACERVO TECNICO,008003420
IOC,LAB DE MEDICINA EXPERIMENTAL E SAÚDE,005120057
COGIC,SERVICO GESTAO INTEGRADA RESIDUOS,008104100
COGIC,SUBSECAO ALMOXARIFADO,008003252
COGEAD,SERV. DE PROCED. LEGAIS E ASS. TECNICA,016004130
COGEAD,SERVICO DE ORCAMENTACAO,020003100
COGIC,DEPARTAMENTO ARQUITETURA ENGENHARIA,008106000
FAR-MANGUINHOS,DEPARTAMENTO DE PRODUTOS NATURAIS,011010201
COGIC,SECAO REFRIGERACAO FINA,008003070
COGIC,SEÇÃO ELETROTÉCNICA 1,008003050
COGIC,SECAO SECRETARIA,008007100
FAR-MANGUINHOS,DEPARTAMENTO DE FARMACOLOGIA,011010201
FAR-MANGUINHOS,VICE-DIR. DE EDUC. PESQUISA E INOVACAO,011010201
IOC,LABORATORIO DE SIMULIDEOS E ONCORCERCOSE,005120027
FAR-MANGUINHOS,CENTRO DE SEG. DO TRAB. E GEST. AMBIENTA,011010201
FAR-MANGUINHOS,SECAO DE DOCUMENTACAO TECNICA,011010201
COGIC,SEÇÃO PREPOSTO,008005130
IRR,NUCLEO DE EST. EM SAUDE PUB. E ENVELHECI,031011000
IFF,SERVICO DE FARMACIA,006005070
IRR,"VICE-DIR. DE PESQ, INOV. TEC. E SERV. RE",031040000
IFF,SERVICO DE MANUTENCAO,006001400
IFF,DEPARTAMENTO DE ANATOMIA PATOLOGICA,006009800
IFF,SERVICO DE PSICOLOGIA,006009950
COGIC,SECAO USO COMUM,008004180
IFF,ZELADORIA,006001803
IFF,UI INTERMEDIARIA,006006021
COGEAD,DIRECAO,020000001
IRR,IMUNOLOGIA CELULAR E MOLECULAR,031013000
IRR,BIOLOGIA MOLECULAR E IMUNOL. DA MALARIA,031016000
IFF,SERVICO DE RADIOLOGIA,006009940
IRR,TAXONOMIA DE FLEB. EP. DIAG. E CONT. LEI,031040070
ENSP,CENTRO LAT.AMERIC.DE EST.VIOL.EM SAÚDE,007002540
FAR-MANGUINHOS,LAB. TEC. PARA BIODVERSIDA EM SAUDE,011010201
IFF,LACTARIO - NUTRICAO,006004920
IFF,LABORATORIO DE NEUROFISIOLOGIA-PEDIATRIA,006004212
IRR,SECRETARIA EXECUTIVA,031001000
IFF,REFEITORIO - NUTRICAO,006004923
IFF,UNIDADE DE PACIENTES GRAVES -UPG,006004224
COGEAD,CORREGEDORIA-SECCIONAL FIOCRUZ,001001050
COGEAD,BIBLIOTECA DE MANGUINHOS,009101400
IFF,SECAO DE PROTOCOLO,006001810
IRR,BIOTERIO DE PRODUCAO,031006000
IOC,"LAB INOV. EM TERAPIAS,ENSIN E BIOPRODUTO",005120077
IOC,LAB DE PESQUISAS EM LEISHMANIOSE,005120047
IFF,CENTRO CIRURGICO OBSTETRICO,006004020
COGIC,SECAO APURACAO,008004060
IOC,LAB BIOL PARASIT MAMIFEROS SILV RESERVAT,005120050
IOC,LAB BIOLOGIA MOLECULAR DOENCAS ENDEMICAS,005120016
COGIC,SUBSECAO USO COMUM,008007180
IFF,AMBULATORIO ESTIMULACAO ESSENCIAL,006004213
COGIC,SECAO APOIO ADMINISTRATIVO,008007110
COGEAD,SECAO DE ARQUIVO E MICROFILMAGEM,020001230
COC,VICE DIR DE GESTAO E DESEN INSTITUCIONAL,014130000
FAR-MANGUINHOS,LAB. DE SINT. DE SUBS. DE COMB. A DOENCA,011010201
IFF,BANCO DE LEITE HUMANO,006009910
COC,SERVICO GESTAO DE CONTRATOS E PATRIMONIO,014131300
COGEAD,SERV. DE EQUIVALENCIA E FARMACOCINETICA,001018001
IOC,LAB FISIOL CONTROLE ARTROPODES VETORES,005120025
IOC,LAB DE BIOLOGIA DAS INTERACOES,005120046
COGIC,SEÇÃO REFRIGERAÇÃO,008003180
IFF,DEPARTAMENTO INFORMACAO E DOCUMENTACAO,006001900
IFF,INFORMATICA,006001020
IFF,SERVICO DE PATRIMONIO,006001600
COGIC,SUBSECAO SUBESTACAO,008003210
COGEAD,SERVICO DE CAPACITACAO,016003050
FAR-MANGUINHOS,LABORATORIO DE FARMACOLOGIA APLICADA,011010201
FAR-MANGUINHOS,LAB. DE PLANTAS MEDICINAIS E DERIVADOS,011010201
FAR-MANGUINHOS,GERENCIA DE FARMACOLOGIA APLICADA,011010201
COGEAD,ADMINISTRACAO COLONIA JULIANO MOREIRA,001008010
COC,NUCLEO DE ESTUDOS URBANISMO E ARQ SAUDE,014134120
COGIC,SECAO AUDITORIO,008001230
COC,SERVICO DE CONSERVACAO E RESTAURACAO,014134100
COGIC,SECAO ADMINISTRACAO,008003105
IOC,SERVICO DE GESTAO DE MATERIAIS,005132020
COGEAD,GESTOR DE MATERIAIS - ALMOX. CENTRAL,020005301
COGIC,SEÇÃO OBRAS,008003403
COGEAD,COORDENACAO DE COOPERACAO INTERNACIONAL,012000014
COGEAD,DIRECAO DA EPSJV,012000001
COGEAD,LAB. DE EDUC. PROF. EM GESTAO EM SAUDE,012008001
COGEAD,LAB. DO TRAB. E EDUC. PROF. EM SAUDE,012000008
COGEAD,VICE DIRETORIA DE ENSINO,012000010
COGEAD,VICE DIRECAO PESQ. E DESENV.TECNOLOGICO,012000013
COGEAD,LAB.EDU.PROFISSIONAL EM VIGILANCIA SAUDE,012008004
COGEAD,LAB. DE EDUC. PROF. EM TEC. LAB. EM SAUD,012007002
COGEAD,LAB.EDUC. PROF. EM INFORM E REGIST.SAUDE,012008002
COGEAD,SERVICO DE INFORMATICA,012000002
